Date,Total Deaths - Rolling 14 Day Total,Total Deaths
2020-03-01,,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,1
2020-03-25,1,0
2020-03-26,1,1
2020-03-27,2,1
2020-03-28,3,1
2020-03-29,4,1
2020-03-30,5,1
2020-03-31,6,4
2020-04-01,10,2
2020-04-02,12,1
2020-04-03,13,5
2020-04-04,18,3
2020-04-05,21,5
2020-04-06,26,0
2020-04-07,26,2
2020-04-08,27,3
2020-04-09,30,5
2020-04-10,34,3
2020-04-11,36,4
2020-04-12,39,4
2020-04-13,42,6
2020-04-14,47,3
2020-04-15,46,6
2020-04-16,50,5
2020-04-17,54,8
2020-04-18,57,5
2020-04-19,59,8
2020-04-20,62,7
2020-04-21,69,6
2020-04-22,73,7
2020-04-23,77,10
2020-04-24,82,5
2020-04-25,84,6
2020-04-26,86,8
2020-04-27,90,10
2020-04-28,94,12
2020-04-29,103,13
2020-04-30,110,9
2020-05-01,114,11
2020-05-02,117,5
2020-05-03,117,15
2020-05-04,124,17
2020-05-05,134,10
2020-05-06,138,9
2020-05-07,140,13
2020-05-08,143,11
2020-05-09,149,13
2020-05-10,156,18
2020-05-11,166,15
2020-05-12,171,11
2020-05-13,170,14
2020-05-14,171,17
2020-05-15,179,6
2020-05-16,174,11
2020-05-17,180,11
2020-05-18,176,15
2020-05-19,174,17
2020-05-20,181,12
2020-05-21,184,10
2020-05-22,181,16
2020-05-23,186,8
2020-05-24,181,18
2020-05-25,181,8
2020-05-26,174,12
2020-05-27,175,6
2020-05-28,167,6
2020-05-29,156,0
